city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
南通市,,,,,100.0,100.11,102.94,105.94,113.41,122.05,107.62,128.97,124.97,115.89,119.46,125.35,120.34,126.17,119.94,121.79,116.93,117.24,113.32,117.94,130.15,124.9,123.86,116.48,104.21,113.8,121.75,119.09,123.22,124.29,129.3,132.51,137.69,135.62,131.13,148.38,131.13,134.58,141.48,134.58,136.55,129.99,135.27,129.92,134.89,140.38,140.79
厦门市,,,,,100.0,116.63,116.61,122.98,129.74,141.2,151.4,154.4,142.33,154.94,155.86,157.75,166.88,175.51,183.51,187.37,190.23,196.18,197.87,174.15,169.71,177.05,181.71,182.4,187.26,193.61,244.98,221.16,218.41,225.07,235.43,226.45,230.93,230.93,242.89,239.15,239.15,239.15,239.15,250.36,244.16,238.52,237.7,233.44,239.68,238.45,235.61
合肥市,100.0,112.65,120.56,125.57,127.41,143.91,148.57,151.58,154.42,157.02,160.06,167.65,157.4,168.46,161.55,167.49,175.48,172.44,183.78,187.7,192.42,194.13,193.12,168.97,177.28,172.57,187.3,186.09,197.45,217.08,227.95,233.72,218.39,216.21,230.22,236.99,238.45,251.62,258.45,263.33,253.58,253.58,253.58,243.83,253.39,249.29,260.75,253.44,249.64,244.76,254.66
哈尔滨市,,,,,100.0,91.97,79.61,90.39,93.28,96.19,91.82,98.75,91.25,92.05,93.29,93.08,93.18,92.96,89.05,90.4,94.86,101.88,95.68,89.29,90.08,82.78,94.13,92.8,96.73,93.38,93.35,91.13,88.86,86.16,84.93,83.69,86.81,99.28,94.98,93.5,96.47,94.99,89.05,97.95,89.55,91.45,88.41,89.2,93.31,83.07,
嘉兴市,,,,,100.0,96.72,104.89,108.47,110.28,108.95,114.85,115.64,107.82,112.35,115.36,121.04,118.24,115.72,113.47,118.93,119.12,122.63,103.64,88.64,107.19,113.2,107.24,101.58,99.71,106.31,111.64,115.45,112.76,120.95,129.12,127.08,123.31,127.08,130.02,138.41,138.41,130.02,130.02,134.21,132.7,139.49,137.43,131.39,146.95,144.22,137.43
大连市,,,,,100.0,114.81,111.51,116.31,128.12,124.47,129.57,123.09,130.49,116.21,119.48,121.86,134.61,126.74,128.47,129.78,128.49,126.51,118.27,121.54,109.6,108.74,108.76,108.85,106.29,108.82,106.11,106.47,102.21,105.16,111.8,108.87,107.72,110.01,114.59,120.32,116.5,114.59,114.59,118.41,119.4,116.36,112.14,115.9,106.7,110.98,108.73
天津市,,,,,100.0,110.02,121.25,125.0,134.18,131.23,125.9,139.49,126.61,133.4,137.13,138.35,133.64,141.78,136.85,157.77,177.63,142.79,143.38,140.05,145.47,159.32,142.63,139.46,145.85,155.04,149.2,157.85,160.97,162.58,161.04,161.26,166.73,177.66,173.1,173.1,177.66,175.38,170.82,173.1,168.02,173.26,163.15,165.86,180.62,168.84,168.16
太原市,,,,,100.0,108.43,109.87,107.92,114.25,122.84,122.15,128.23,137.13,141.76,122.35,121.6,124.9,124.18,140.95,141.97,159.27,157.77,161.34,150.64,148.78,146.37,152.24,147.64,135.83,136.59,145.98,150.05,156.09,160.48,175.71,189.55,179.89,187.13,193.17,205.24,193.17,185.12,201.22,193.17,203.39,199.53,199.37,203.31,185.6,198.04,199.41
宁波市,100.0,101.25,105.57,114.25,121.61,128.78,130.7,133.29,129.94,133.2,136.07,128.25,126.58,126.96,128.73,130.36,131.29,123.67,122.81,125.44,114.9,114.76,111.18,100.39,102.69,101.4,100.46,100.01,103.43,103.67,106.09,107.33,107.26,107.54,107.53,106.75,107.42,110.76,108.98,113.43,108.98,108.98,111.2,113.42,113.06,110.88,107.14,111.12,109.45,111.01,107.81
常州市,,,,,,,,,100.0,101.43,106.61,101.82,98.16,122.85,94.89,112.1,101.73,119.04,103.28,118.04,107.99,104.53,102.0,87.88,89.79,94.18,86.61,90.55,92.59,87.5,98.04,97.16,97.8,99.77,98.69,105.4,100.74,100.74,102.61,105.72,115.05,111.94,111.94,108.83,107.4,105.29,103.74,107.44,108.68,101.4,109.61
广州市,100.0,117.08,104.24,118.81,146.85,154.89,158.63,171.35,190.54,216.88,230.77,212.64,223.16,225.12,231.99,239.11,252.29,250.89,269.33,274.85,292.7,284.29,269.38,275.97,257.33,249.18,255.6,254.91,269.62,264.61,265.38,276.08,282.18,275.07,280.01,282.4,273.12,291.69,281.12,286.28,291.44,301.76,301.76,299.18,306.25,297.4,297.89,291.52,307.23,308.29,294.18
徐州市,,,,,,,,,100.0,108.15,110.64,123.88,112.57,103.04,98.23,91.0,90.76,104.52,100.59,99.88,103.87,97.41,82.12,93.16,96.97,90.35,105.12,98.3,83.99,79.86,85.9,92.51,86.89,87.89,97.47,95.71,90.33,106.46,107.54,103.96,103.96,111.13,111.13,114.71,127.9,118.26,105.07,122.81,122.38,117.4,119.08
