city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01
宁波市,100.0,102.44,108.08,118.3,127.2,136.01,139.42,143.48,141.19,146.11,150.72,143.51,143.14,145.1,148.66,152.04,154.7,147.32,147.93,152.74,141.56,143.01,140.19,128.26,132.97,133.1,133.73,135.05,141.65,143.95,149.32,153.06,159.54,156.77,166.39,185.95,184.84
常州市,,,,,,,,,100.0,102.45,108.69,104.82,102.06,128.77,100.69,120.04,110.08,129.89,113.82,131.3,121.48,118.86,117.25,102.21,105.84,112.4,104.5,110.65,114.68,109.74,124.51,124.88,142.61,147.89,156.11,168.92,172.37
广州市,100.0,118.63,107.29,124.13,155.28,165.79,171.85,187.61,210.74,242.59,260.94,243.64,259.03,264.77,276.32,288.52,308.33,310.54,337.48,348.42,375.35,368.84,353.96,367.27,346.95,340.4,353.73,357.34,382.51,379.97,385.53,405.73,416.3,421.25,469.56,499.5,504.68
徐州市,,,,,,,,,100.0,109.22,112.84,127.46,116.99,108.17,104.24,97.67,98.45,114.38,111.16,111.46,117.04,110.92,94.69,108.54,113.97,107.16,125.89,118.89,102.52,98.36,106.71,116.16,126.22,152.57,161.52,158.51,163.34
惠州市,,,,,,,,,100.0,128.6,127.77,139.6,189.75,140.92,141.77,141.53,146.09,151.52,160.28,167.0,191.33,208.62,192.8,179.88,171.05,172.28,227.53,259.73,274.94,300.4,304.35,302.91,298.28,310.29,346.63,356.68,366.79
成都市,100.0,61.92,109.68,116.72,126.67,140.27,140.88,154.07,169.84,179.45,194.7,176.73,181.23,187.05,185.76,205.78,219.29,211.36,219.79,238.43,220.17,219.07,234.05,225.64,211.41,208.59,203.05,207.63,210.34,215.59,230.13,228.9,245.22,262.89,282.56,313.08,320.64
扬州市,,,,,100.0,100.29,110.2,124.15,133.15,145.41,145.03,139.31,134.6,146.96,143.42,138.98,142.57,152.43,141.87,149.39,156.08,161.18,151.79,134.36,156.95,168.28,156.85,164.25,170.26,184.15,176.77,184.11,190.61,205.56,234.63,233.51,243.66
无锡市,,,,,100.0,106.94,118.58,121.27,128.37,130.86,122.25,125.55,128.35,117.04,129.3,126.46,137.62,123.08,112.83,121.94,116.57,115.18,107.76,103.57,109.18,115.65,108.57,109.56,105.46,107.61,118.79,125.51,134.59,147.17,160.86,173.19,171.35
日照市,,,,,,,,,100.0,105.17,104.32,109.19,115.56,109.8,115.78,118.17,128.87,146.69,142.77,154.38,144.97,150.15,156.96,125.56,146.85,149.51,159.92,147.66,159.76,148.2,151.72,154.76,156.5,156.96,157.51,170.9,166.4
昆明市,,,,,100.0,109.71,121.49,140.43,149.43,153.3,153.38,170.57,154.11,140.64,157.09,160.49,177.95,194.96,176.98,190.35,203.22,201.14,198.13,214.06,181.42,189.79,178.55,174.14,173.62,176.88,187.46,182.89,186.85,195.99,193.78,219.1,216.92
杭州市,100.0,127.38,122.67,127.95,129.87,124.91,130.43,143.75,157.25,158.92,167.87,170.25,162.34,153.37,151.79,149.24,164.17,166.16,172.4,154.75,161.58,157.77,141.46,154.05,142.22,152.42,144.36,143.0,134.39,142.72,147.17,152.04,155.16,172.7,171.08,182.07,179.13
武汉市,100.0,109.76,112.85,118.07,127.03,138.02,142.75,154.76,167.62,178.17,182.05,188.55,207.34,192.75,192.14,197.06,205.2,226.37,240.63,239.96,235.34,253.1,251.84,238.52,241.86,255.42,270.42,273.09,291.77,317.14,349.58,402.52,457.11,482.6,503.2,512.85,548.16
汕头市,,,,,100.0,97.68,106.04,123.06,136.44,137.35,163.36,156.62,171.72,173.77,182.58,197.87,204.77,206.81,209.46,228.17,242.22,239.0,291.76,270.81,339.73,293.71,250.37,259.44,259.94,283.51,290.11,295.73,277.63,323.78,324.23,311.52,313.15
沈阳市,,,,,100.0,102.19,102.19,112.99,115.51,119.41,128.6,132.04,134.29,136.31,142.53,143.32,146.8,150.64,162.18,154.34,160.26,159.97,161.83,156.82,157.89,159.95,159.12,165.09,174.43,173.17,176.79,177.06,189.01,186.76,196.33,204.74,205.44
泉州市,,,,,100.0,109.39,115.74,116.61,127.16,119.87,138.18,133.2,137.15,142.09,139.1,151.86,157.45,180.73,182.84,176.76,166.05,177.6,155.99,165.46,166.99,162.3,167.01,168.3,178.39,169.66,173.46,176.86,190.11,207.63,232.03,234.86,233.04
洛阳市,,,,,,,,,100.0,98.06,104.55,104.65,109.15,105.32,114.42,116.75,122.76,122.53,137.95,155.15,130.68,166.06,144.03,133.84,157.2,146.19,146.26,150.27,147.82,145.82,146.46,152.54,150.66,182.44,205.24,206.18,209.92
济南市,100.0,100.08,105.34,112.42,125.73,135.35,150.31,145.54,157.05,175.81,173.73,188.68,190.08,203.75,199.1,211.25,210.55,226.11,217.99,212.34,217.51,236.53,225.42,245.08,246.28,233.17,236.47,239.67,257.5,275.66,284.66,290.67,323.73,344.57,348.05,367.64,421.84
海口市,,,,,100.0,112.69,105.21,108.49,130.24,125.34,125.83,135.91,120.92,131.85,125.78,148.64,143.99,136.57,132.49,133.63,156.12,141.7,139.73,141.42,148.01,168.98,150.23,160.9,175.77,167.83,163.4,157.72,173.26,210.23,231.51,231.85,267.93
