city,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
扬州市,31.98,26.33,26.16,30.24,27.04,24.58,31.16,31.49,26.61,26.72,33.68,36.08,30.82,32.51,32.9,32.63,33.89,31.41,32.52,33.58,33.28,32.1,35.7,35.1,34.8,35.1,31.5,33.3,32.4,31.2,35.4,36.9,36.3,37.2,34.8,38.7,38.1,38.7,38.0,41.0,39.0,38.0,41.0,41.0,40.5,42.95,42.38,45.35,40.66,41.53,40.34
无锡市,32.77,33.61,32.85,30.92,29.83,31.91,30.62,32.06,30.97,34.04,40.46,41.22,36.47,39.21,38.32,37.73,35.26,39.02,37.41,39.88,37.82,37.2,39.0,37.5,38.4,39.0,39.3,36.9,39.3,37.2,34.8,36.3,35.7,34.8,37.5,35.1,34.8,35.7,37.0,38.0,36.0,37.0,37.0,39.0,39.52,39.47,36.93,36.78,37.0,37.73,37.82
日照市,26.92,,24.92,23.64,27.21,25.45,27.39,31.01,26.73,20.56,27.16,28.42,27.1,28.07,25.84,28.18,29.13,21.91,24.62,24.94,23.65,24.6,26.7,26.1,25.8,25.2,24.9,24.9,23.7,22.8,22.5,24.9,20.4,21.3,21.9,27.3,24.6,26.1,29.0,31.0,29.0,31.0,28.0,31.0,29.91,32.82,30.55,28.53,30.82,35.73,33.44
昆明市,56.38,60.98,50.54,50.67,46.94,46.87,51.97,49.54,45.8,45.91,56.22,59.33,56.2,53.62,53.79,51.72,50.73,47.11,50.41,50.28,47.38,48.9,45.6,46.5,45.0,46.8,47.4,48.9,46.8,48.6,49.8,50.4,50.7,50.7,50.7,49.8,51.0,52.8,53.0,54.0,58.0,57.0,52.0,57.0,55.92,56.4,56.76,56.22,56.56,55.65,54.38
杭州市,65.98,68.29,69.76,69.72,66.24,69.31,69.45,67.16,67.14,66.57,66.55,65.02,64.87,67.03,66.91,64.52,64.18,64.11,63.83,61.7,63.13,65.4,64.5,66.0,65.4,66.3,67.5,67.2,66.0,66.3,66.3,66.9,66.6,66.6,67.8,70.5,69.6,71.7,72.0,74.0,72.0,75.0,77.0,79.0,79.41,75.51,72.87,74.2,72.9,71.87,72.22
武汉市,43.72,44.61,47.49,47.47,47.94,43.32,43.22,44.35,40.54,43.18,62.62,62.99,62.02,61.34,65.99,62.91,64.42,63.78,64.06,65.4,64.05,66.0,69.0,67.2,67.2,66.9,67.5,65.4,65.1,62.7,64.8,63.9,63.6,63.9,63.6,64.8,66.3,65.4,67.0,71.0,73.0,73.0,73.0,74.0,74.5,73.79,73.93,71.21,70.62,69.66,69.2
汕头市,33.19,31.26,29.53,35.74,23.39,29.42,31.36,30.86,29.16,32.72,31.06,29.95,28.82,32.4,32.93,30.61,28.93,30.44,29.99,29.99,30.02,31.2,29.1,30.3,30.6,30.3,32.1,31.2,33.3,34.5,31.2,30.6,33.0,32.7,34.2,28.8,30.9,34.2,34.0,35.0,36.0,34.0,36.0,31.0,34.78,33.1,32.66,33.17,38.27,31.43,34.44
沈阳市,51.25,43.92,45.9,41.46,41.55,40.3,42.94,43.54,38.96,39.67,53.21,52.21,45.92,47.13,47.34,46.09,47.91,45.16,47.36,52.44,44.32,44.1,45.3,49.8,48.0,45.0,48.6,46.8,43.5,50.1,50.1,55.5,47.1,49.2,51.3,49.5,53.4,60.9,56.0,56.0,56.0,54.0,54.0,54.0,60.18,60.13,56.08,57.6,56.45,53.19,51.23
泉州市,27.87,32.16,30.95,31.59,30.99,28.22,28.26,30.22,26.06,26.62,32.52,32.61,30.27,31.59,29.13,30.4,31.67,28.48,33.23,33.46,32.21,31.5,33.0,30.3,30.9,31.8,33.6,33.3,33.6,30.6,30.9,33.9,33.0,30.6,28.2,33.0,33.3,32.7,34.0,35.0,34.0,38.0,34.0,32.0,33.28,32.84,33.61,33.61,35.16,38.52,36.7
洛阳市,29.85,26.7,30.96,27.75,27.83,27.75,26.61,25.87,30.12,25.13,26.03,29.08,26.2,25.29,24.82,21.86,25.01,22.54,28.51,26.49,25.13,24.9,28.8,26.7,28.5,29.1,32.1,30.0,28.8,27.6,30.0,30.9,25.8,27.6,27.9,28.5,27.3,31.2,31.0,30.0,31.0,29.0,33.0,31.0,32.13,28.9,35.23,30.01,30.72,34.33,30.13
济南市,58.2,54.47,55.9,50.29,53.32,49.68,47.7,47.68,46.55,58.81,55.05,58.07,55.29,59.8,58.93,56.31,56.23,55.09,54.04,57.43,57.04,57.3,54.9,57.9,52.2,53.4,53.1,53.4,54.0,55.2,57.9,59.1,59.1,58.5,60.3,58.8,58.2,59.7,61.0,65.0,65.0,64.0,63.0,65.0,62.51,61.88,59.66,59.97,60.98,61.07,59.52
海口市,46.32,51.63,48.17,59.14,54.24,57.76,43.0,48.34,45.3,45.24,47.62,49.68,47.15,47.05,44.55,41.53,47.22,48.86,44.35,50.96,47.53,48.0,45.9,49.5,47.7,44.4,49.8,51.0,52.5,52.8,57.9,55.8,57.3,57.3,59.4,53.7,52.5,57.0,59.0,63.0,65.0,66.0,70.0,68.0,69.43,69.94,68.81,63.74,55.9,68.45,67.68
淄博市,26.15,23.66,22.3,23.7,27.12,21.38,26.44,20.15,21.85,20.68,24.33,26.75,26.29,25.52,25.75,25.51,25.18,22.56,26.41,27.09,25.76,26.7,26.1,26.1,29.1,28.2,26.7,26.7,26.1,28.2,27.3,25.5,27.6,25.8,26.4,27.0,28.2,29.7,31.0,33.0,31.0,33.0,33.0,32.0,31.19,33.75,34.03,37.67,32.28,32.0,33.59
深圳市,124.24,132.42,126.54,125.57,125.07,126.4,130.01,135.52,126.71,126.17,122.18,121.53,126.38,129.01,129.63,126.05,124.61,123.78,124.3,124.33,125.27,119.1,120.3,120.3,116.4,129.3,124.2,123.6,122.4,124.8,123.6,129.6,122.1,123.6,120.9,122.7,120.0,122.7,125.0,131.0,128.0,125.0,130.0,130.0,125.7,123.18,121.06,115.46,122.92,125.49,124.73
温州市,44.13,42.39,45.7,44.01,45.64,45.44,42.72,43.16,42.93,42.98,45.14,45.85,46.73,47.6,47.09,46.77,46.32,46.32,47.83,49.02,47.18,44.1,44.7,47.1,42.9,43.5,45.0,44.1,41.7,44.7,44.4,45.0,45.6,45.3,44.4,45.6,39.6,45.0,44.0,43.0,44.0,47.0,48.0,48.0,48.88,49.43,50.73,51.16,52.5,55.12,51.14
湛江市,28.25,29.49,28.64,28.39,26.87,24.64,28.12,28.67,26.48,31.69,37.91,38.74,33.48,36.96,37.12,36.64,34.7,35.52,36.19,36.96,38.01,36.9,36.3,35.4,45.9,39.6,37.2,39.6,40.8,37.5,39.6,37.2,37.8,37.8,39.6,36.9,44.1,43.2,38.0,42.0,43.0,45.0,42.0,42.0,47.82,45.25,44.02,45.01,41.64,43.81,40.28
