city,2009-03,2009-06,2009-09,2009-12,2010-03,2010-06,2010-09,2010-12,2011-03,2011-06,2011-09,2011-12,2012-03,2012-06,2012-09,2012-12,2013-03,2013-06,2013-09,2013-12,2014-03,2014-06,2014-09,2014-12,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12,2017-03,2017-06,2017-09,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03
深圳市,100.0,123.93,148.01,156.68,182.72,240.57,212.45,247.26,263.23,299.19,449.99,433.23,474.15,453.14,461.48,474.73,503.57,522.93,503.98,402.62,416.62,453.29,478.4,500.44,505.0,519.52,579.6,601.08,672.27,693.0,692.63,656.01,735.14,537.32,863.9,893.64,1049.67,1055.34,1016.57,1163.15,1252.99,1390.11,1361.74,1200.98,1199.56,1241.55,1241.93,1240.75,1326.14,1311.39,1297.87
温州市,,,,,100.0,106.29,115.6,164.15,251.33,251.53,231.15,209.24,208.26,150.49,165.12,152.38,161.34,171.21,194.11,131.43,153.3,134.73,103.37,100.54,74.19,96.88,100.29,102.36,91.74,99.73,96.25,81.47,83.49,81.27,77.16,87.46,83.83,79.8,108.82,111.51,107.48,106.14,95.39,103.45,103.83,112.23,113.71,118.18,129.63,107.53,118.14
湖州市,,,,,100.0,104.85,112.97,123.81,124.25,160.28,154.82,185.32,169.19,175.57,166.3,191.08,169.95,171.9,162.07,161.97,167.42,158.45,156.11,132.99,137.42,121.71,128.87,135.24,126.63,123.55,122.35,125.22,115.68,123.63,80.34,130.44,155.45,108.81,130.66,153.19,159.95,148.69,148.69,153.2,165.82,152.8,156.38,118.55,159.08,173.9,155.47
潍坊市,,,,,,,,,100.0,107.1,113.44,115.5,118.33,116.2,117.46,108.25,110.49,123.02,149.84,107.01,119.2,150.03,127.42,124.54,134.12,101.42,116.39,107.69,94.16,97.06,92.8,103.72,101.07,103.7,99.12,93.88,148.96,141.45,121.0,116.83,133.52,133.52,158.56,129.35,121.51,128.23,120.64,128.11,161.7,168.38,169.8
烟台市,,,,,100.0,97.83,95.32,103.96,109.07,115.49,121.21,123.01,118.55,122.83,112.38,114.57,120.16,114.14,121.58,129.27,151.95,150.24,133.8,114.58,114.94,116.99,117.94,114.78,119.29,110.66,108.73,111.22,91.69,96.48,85.67,95.86,107.75,107.75,106.51,89.17,81.74,104.03,96.6,96.6,98.73,91.45,87.98,104.65,112.95,115.82,107.03
牡丹江市,,,,,,,,,100.0,104.13,109.76,119.18,108.5,111.55,120.82,145.79,138.93,123.24,120.15,146.58,159.04,159.89,157.25,88.19,128.39,113.89,102.66,130.52,128.82,122.83,107.52,114.21,95.48,86.31,54.79,82.58,140.64,175.48,189.24,189.24,184.94,189.24,193.54,159.13,177.06,160.46,177.15,192.72,180.72,188.12,177.58
珠海市,,,,,100.0,104.47,106.79,93.88,90.8,107.48,124.58,133.34,137.16,138.45,129.77,129.37,159.76,163.5,168.17,142.44,130.73,154.29,156.75,140.58,158.16,128.77,142.01,165.91,175.04,213.24,159.71,165.2,160.12,154.04,243.55,219.99,204.21,270.11,250.62,263.0,287.75,259.9,250.62,281.56,257.58,264.82,244.74,284.37,285.92,252.54,295.76
盐城市,,,,,100.0,96.55,104.97,101.33,93.84,136.71,108.78,123.86,118.78,118.88,161.0,137.48,121.19,120.17,114.3,165.94,169.97,174.35,171.95,140.45,146.73,121.98,128.32,146.14,155.41,151.9,139.01,157.12,161.86,133.05,76.89,131.79,146.91,193.36,162.03,198.04,190.84,172.84,176.44,172.84,157.72,164.89,193.19,159.7,217.75,224.7,204.17
石家庄市,100.0,102.83,119.51,120.55,144.82,156.31,158.14,166.25,182.09,166.41,158.42,183.87,184.53,170.52,154.08,170.81,171.79,238.92,241.92,199.14,199.83,214.36,247.58,223.76,234.68,216.02,212.77,210.84,201.31,193.14,199.19,243.06,260.87,282.25,339.59,378.76,380.39,354.27,353.73,402.71,413.59,402.71,380.94,386.38,358.41,402.38,434.81,429.1,490.92,454.73,453.8
福州市,,,,,100.0,139.46,122.17,125.94,127.72,116.47,139.78,169.32,167.88,164.87,170.22,173.47,189.71,197.63,199.76,203.75,205.41,200.53,208.13,188.99,172.51,161.75,165.04,163.81,166.44,146.76,122.0,148.12,129.02,113.69,142.31,147.15,164.83,160.84,173.01,207.23,169.21,197.73,182.52,199.63,390.0,348.44,273.72,295.68,274.06,371.93,334.97
秦皇岛市,,,,,,,,,100.0,111.28,111.65,123.32,117.73,114.34,106.8,112.85,143.84,118.43,131.94,135.19,126.09,121.57,132.18,95.93,105.01,104.34,90.55,99.53,103.16,95.08,91.28,97.74,98.04,108.23,76.07,138.39,112.81,104.67,135.68,158.94,151.19,131.81,124.06,133.75,130.26,151.62,130.88,147.34,125.05,122.61,124.26
绍兴市,,,,,,,,,100.0,108.4,97.43,109.98,109.74,110.23,106.76,111.51,101.88,116.7,115.2,120.48,119.72,113.09,121.07,106.48,107.36,101.3,101.99,99.98,94.64,95.04,93.89,90.35,94.91,87.68,78.7,88.54,95.7,98.96,99.83,112.85,119.36,117.19,125.87,115.02,112.72,115.76,133.36,133.03,134.79,128.19,146.2
绵阳市,,,,,100.0,120.03,134.22,135.29,118.32,99.59,126.73,152.89,154.39,153.52,166.93,176.45,110.69,178.27,182.46,103.99,142.04,157.94,190.9,157.97,145.13,143.38,142.15,136.84,130.75,116.89,132.06,108.28,91.31,90.89,73.35,118.27,114.13,197.66,140.59,143.35,132.32,99.24,165.4,129.56,110.13,118.43,131.33,165.65,204.85,213.89,140.29
芜湖市,,,,,,,,,100.0,102.78,107.4,105.0,109.6,101.34,100.9,103.02,96.24,102.49,103.71,90.35,101.73,94.48,97.61,93.63,102.55,91.26,76.04,86.01,89.43,79.24,82.34,74.68,86.27,66.2,46.61,74.95,80.93,83.69,88.9,96.56,102.69,91.96,98.09,88.89,103.45,93.2,97.28,115.46,78.09,86.14,92.58
苏州市,100.0,76.36,63.14,82.88,95.29,115.03,109.29,101.49,115.92,110.73,123.04,138.27,119.73,121.43,117.4,118.01,121.9,118.96,131.19,130.15,124.04,119.92,124.69,117.24,120.49,113.81,118.64,116.18,114.31,116.1,118.12,124.88,143.48,113.93,181.28,201.16,183.16,192.8,212.08,222.79,248.5,254.93,248.5,252.78,242.73,238.04,248.62,276.81,271.39,308.56,270.21
蚌埠市,,,,,100.0,89.17,102.97,132.9,137.57,153.6,156.13,166.39,162.37,171.93,179.79,174.43,164.14,174.92,178.71,196.84,199.19,210.93,205.05,166.99,120.94,182.94,156.12,192.72,180.56,158.47,145.65,173.7,178.26,151.29,91.35,151.34,213.96,267.88,289.91,313.1,324.7,336.3,376.89,307.31,334.04,317.4,362.34,356.83,324.65,343.73,332.25
襄阳市,,,,,,,,,100.0,94.12,108.72,100.22,96.74,139.02,123.1,151.23,131.26,145.27,167.07,130.65,175.72,111.7,89.99,76.43,71.62,119.64,119.72,111.86,98.58,77.83,92.04,116.93,112.45,112.43,68.88,105.46,117.09,141.13,134.41,136.99,165.42,136.99,121.48,139.57,132.69,153.88,154.42,160.34,166.13,140.93,145.19
